fips,,id,YEAR,SEASON,MONTH,STATE,COUNTY,LOCATION DETAILS,NEAREST TOWN,NEAREST ROAD,OBSERVED,ALSO NOTICED,OTHER WITNESSES,OTHER STORIES,TIME AND CONDITIONS,ENVIRONMENT,DATE
53067,3993,34710,2012,Spring,March,WA,Thurston County,(Exact location details edidted by the investigator to protect the location),Rainer,Johnson Creek,"On wed march 20,2012 My 2, sons J and T, and 2 friends S and T along with myself, went out to target practice outside the town of Rainer, Wash.  It was about 5:40 when we came through a hay field and stopped to decide where we should go next. I was looking across the field scanning the tree line that runs along the edge of the river. At the far southwest end of the field I notice a figure getting up out of a blackberry patch. It was huge and dark. I couldnt tell how tall it was but I could tell it was massive. Big shoulders long arms and wide body all covered in brown hair. The hair on it head looked like it went to its shoulders. It stood up and walk from the center of the patch to the trail in front of it. I brought it to the attention of the others with me as it crossed the trail and stood next to a fir tree it looked back at us. It turned and walked south into the next hay field and towards the southwest corner. We ran to were we saw it. We found nothing. The blackberry bushes looked like something used it as a bed, all the branches were bent down flat. We compared the fir tree with my son T to get an idea of how tall it was, my son is 6ft and the creature was at least 8.5 we took pictures then followed the grass trail it left behind (We could see where it went across the field in bent grass) and into the second field and stopped at the edge of the third and noticed that ahead of us the birds flew out of the trees making alot of noise. a few minutes later we heard dogs barking in the distance but not to far. Then we heard a load knocking sound for 5 or 6 beats. Everything went real quiet then we heard what sounded like a popping sound  followed by several hoots. We waited in the trees for several more minutes but heard and saw nothing out of place",We followed it into the second field and stoped at the edge of the third and noticed that ahead of us the birds flew out of the trees making alot of noise. a few minutes later we heard dogs barking in the distance but not to far. Then we heard a load knocking sound for 5 or 6 beats. Everything went real quiet then we heard what sounded like a popping sound  followed by several hoots,There were 5 of us all hiking into the field,yes but ive never told anyone. 2 other incidents that I know of. But I have never really seen 1 till today  ,5:30 pm cloudy no wind 37 degrees good light,hay fields with partial divided by rows of trees. One side banked by the river swampland and blackberries other side road then forest. Fishermen in area further up river. ,20
53037,4005,35031,2011,Summer,June,WA,Kittitas County,,easton,I-90,"I was fly fishing by a lake in WA. I was all alone. I was setting up my camp I got bored and started singing softly. A short time later I started smelling what smelled like dirty cat litter. I thought that was really odd after a while I just ignored it. Then I started breaking the big branches to make my fire. After breaking the really big branches I heard a loud very loud knock. I thought that was odd because I was the only one around I was high up. So I thought maybe that was a bear coming down a tree or something. So after that I did some screams to try to scare it away. So I started my fire I had some meat out by the fire. After a while I started hearing whistles I was like what the heck I never heard a bird like that. Mind you Im in the mountains a lot so when that happened I started to be on my guard. I also lived in Yosemite for 9 months. After cooking one pork chop I had one still laying on the rock beside me. I started hearing rustling in the trees behind me so I grabbed my bear spray. I went to go check it out and didnt see a bear. So I went back to camp didnt think about anymore. After I was done with my dinner a big rock came crashing by almost hitting my car. I thought it was just a rock falling from a cliff. Then I started thinking about it theres no cliffs by me what the heck! So I started screaming to scare it away. I did that for a minute or two then relaxed for a bit. Then another big rock was thrown so I got really pissed off and started really yelling. Then I thought my mind is just playing tricks so I ignored it. Then maybe 20, 30 minutes later a really big rock was thrown. When that happened again I knew it wasnt my mind playing games with me. So I was thinking is this really happening? A couple of minutes passed another rock thrown. So I started to yell again then I heard a really angry loud whoop sound like I never heard before. I could feel it inside me it was that loud like you were at a concert or something. I got really scared and drove away.",I always felt like i was being watched when I go there,,,right before dawn,I was camping next to the creek,
53009,4026,35409,2011,Fall,September,WA,Clallam County,,Forks Washington,LaPush Rd,"The sighting was the creature crossing the LaPush Road.  We were shocked and do not recall the exact mile marker closest.  However, it was on a 90 degree (or close to) turn in the road.","The area that the creature entered was so thick it would be hard to enter, however, it had no problems.  Not only this but off the road there are large ditches a person would have to jump.  This was agile, tall and took 2 steps that took him off the road and into the woods.  The stride was sooo long!","Yes. We know that at least two other persons other than in our car saw the creature because everyone was driving oddly as to not hit it.  There were three in our car.  I saw the creature, the driver also but not as detailed as he was defensive driving because of the chaos.",Yes. My spouse is a hunter that has smelled him.  I have another person that was in my life that claimed a sound they experienced they attributed to this creature.  One of my children at age 8 told me they saw one in a logged off near dusk one evening on 101 from Port Angeles to Forks WA. We live in an area with a multitude of reported sightings.   I never ruled it out this forest is vast.  It would take ego to claim we are familiar with ALL possible wildlife out there. Now I KNOW...,"Mid morning aprox 10am. Weather was clear, warm with edge of season change felt, but sunny.","The creature was coming from a ""logged off.""  The logging was not recent there was light underbrush starting but mainly open.  Across the road the creature stepped off paved road and into very thick underbrush and woods.  It was extremely heavy underbrush.  It was morning and sunny, and clear.",4
53039,4035,35479,2010,Fall,September,WA,Klickitat County,This happened while I was traveling South West on the BZ Glenwood Highway 2 miles from the BZ junction on to HWY 141.,BZ Corner,BZ-Glenwood Highway,"I was on my way back from Glenwood where my cousin had had a high school volleyball game; I and her older brother had hung around town well after the game so I left around midnight. On the way back I drove slower than normal because I didn't want to hit a deer with my car I had bought the previous month.  I was a little more than two miles from the BZ corner junction when I saw a set of eyes reflecting on the opposite side of the road. I slowed down thinking it was a deer, however as I continued to approach I saw that they were sitting up pretty high. The road dips down on that side just as on mine, there are steep banks here and there. When it began to cross I was a little less than 10 yards from it but through the majority of the encounter I inched towards it to approximately 5/6 yards at the closest. When it came in to the shoulder of my headlights I noticed that the legs weren't thin like a deer or elk they were thick.  I thought it might be a bear, however as it continued to cross I could tell it was way too big to be a bear sitting at roughly 7/8 foot high. I also knew it wasn't a bear because bears are meant to be on all fours it wouldn't have ""arms"" that came down about half way down the thigh (I could tell they came down that far because they swing slightly as it walked). When it crossed over the centerline for a moment it made about a quarter turn with its torso and looked at me briefly before turning back (all as it was walking, it didn't stop at any time while on the road).  I don't recall much of the face but what I do clearly remember was noticing the shape of the head was not at all like a bear, more like a tall bump off of massive shoulders and that there was no snout (that part I noticed as it finished looking away from me). It continued to walk forward in to a ditch along the road with a steep bank (as it did so walking a little bit towards my car as if trying to step out of the light). It awkwardly turned away and I started driving forward slowly. I ended up crossing halfway into the other lane but I would estimate its distance to the side of my car as I began to pass would have been 3/4 feet at the closest.   Once I was pretty sure I had passed it I sped up. I never looked in the rear view mirror, I was honestly too afraid too. The hairs were standing on the back of my neck the rest of the drive. I knew it was watching me as I drove away and the scariest part was I knew it was watching me when I was unable to see it after I passed.  ",,It was just me in the car.,"I was on the phone with my friend Cameren the other day and when I asked if i had ever told him about when I had a ""Sasquatch"" walk in front of my car two years ago he immediately put me on the phone with his father John who said he had a couple experiences implying they were around here but didn't have time to go in to detail. ",Approximately 1:00 AM,the area is forested with light farmland around. Up the road behind where this took place ( a little more than a tenth of a mile) is the end of a clearing for some farmland. The weather that night was damp with a light fog (just heavy enough where its better to drive with your low beams on). ,
53027,4044,35669,2012,Spring,June,WA,Grays Harbor County,,"Pacific Beach, WA",109,"My husband was driving while we were heading north up the WA coast from our little town of Ocean Shores to Moclips, for me to shoot some photos.  I keep my cameras handy while we are driving almost anywhere out of our town.  I like to shoot candid photos of the sights we see.  On June 2, 2012, we reached a curve just south of Seabrook (a newly built, planned community).  My husband pulled over and I turned to look up at the rather bare fir trees standing on the top of the ridge on the east side of the coast road.  I always enjoy looking at those weather bleached trees and have captured their a number of times.  When my eyes moved down to the lower part of the trees, just uphill from our parking spot, I saw a head and shoulder-like shape standing between two trees.  The brush on the hillside hide all but the head and top of part of the shoulder shapes...  I quickly reached for my 'ready to shoot' camera, with its 70-300mm tele-lens, but by the time I aimed the camera at that spot...the head/shoulder shape was no longer 'there'.  I told my husband what I'd just seen...but he didn't seem too impressed.  So, I stepped out of our SUV to shoot some photos looking downhill and out over the beach below our rather high vantage point.  I shot several, including some of wildflowers blooming nearby my husband's driver-side door.  When I was about to walk back around the car to get into it...a sudden loud noise struck nearby.  I immediately looked toward the wide-metal guard-rail, since the loud noise sounded like a heavy stone hitting metal...leaving a vibrating sound.  I saw no stones on the paved parking area...but a stone could have skipped over into the grass and brush just beyond the railing.  I don't know what caused that loud noise...but it was unnerving enough for my husband, who does have a hearing problem, to suddenly tell me to get back into the car.  He had heard it also.  While first parked in that area...we had also seen a large pickup truck suddenly stop just below us right on the curve of the highway...while it was traveling north, as had we been just minutes earlier.  The truck was not sitting in a safe place...it we noted that it made no sense for it to stop in such a blind-spot on a curved in a busy roadway...  The truck had then moved forward 20 to 30 ft. and then suddenly stopped a second time...and hesitated for several seconds before starting on its way once more.  Later...my husband and I speculated that the truck might also have been struck by a rock/stone thrown from that same hillside...  Our rock incident was the second one I know of that occurred within the same week...  I had been told about and shown the broken windshield on a lady's car just days earlier...when a rock had been hurled up, over and out of heavy brush while she drove alone to Aberdeen, Wa from Ocean Shores...passing a swampy area near the Humptulips River.      ",Another vehicle stopped and parked and then moved again another 30 feet up the road as if they had seen something up the hill too.,My husband and myself only....,"Yes, briefly noted in my account above...  You may be interested in knowing that...we live just south of the Skookumchuk River...which the local Native People's name for 'hairy man of the forest'....","2:45 p.m., Clear, bright sunny afternoon with little wind.",Heavy fir covered forest land...but near where the developers of Seabrook have been clear-cutting a lot of timber in the past couple years.  ,2
53061,4046,35706,2011,Summer,September,WA,Snohomish County,This was in the northern Cascade Mountains. It would be too easy for people who have been there to figure out. And I DO NOT want that to happen. I will explain.I think you will understand.,I need this to be kept private please.,See above (I will explain).,"On September 1st, 2011 I was camping up in the beautiful Cascade Mountains of Washington State with my friend Dave (my name is Dave as well). We got there early on Thursday to get the spot we wanted. It was for us the start of the Labor Day weekend. We had set up camp and drove up an old logging road to get our firewood for the night. There is a bridge close to our campsite. We had supper and relaxed around the campfire. At about 10:30 that night I decided to grab a flashlight and go looking around the area across the bridge. I really had not planned on looking for Bigfoot as I was busy with the logistics of putting this camping trip together. I am a true believer in Sasquatch, and read Bigfoot stories all the time(ask my wife). As I cleared the bridge there is a dead-end road on the right that goes down for about a quarter mile or so. I know this because I have been down there. The road is gated at the top with a pipe gate. In the middle of the gate is a red reflector. I could not see the reflector because something was standing in front of it. I had shined my just regular flashlight, with about ¾ battery power down this road. What I did see was a pair of big yellow eyes, looking back at me. I FROZE. I remember thinking: Oh My GOD! I noticed that the right eye was much brighter than the left eye. I thought that perhaps there was some hair hanging down over the inside of the left eye. Or maybe it had an injury. I then noticed how far apart the eyes were. And how high up from the ground they were. Actually they were roughly even with mine, but the road there sloped down a bit. About four feet or more! Im 58 on a good day. This thing would have towered over me! The creature was either dark brown or black, as I could not make out any body or head features at all. Just those yellow eyes. There was no odor at all. The air was perfectly still. It made no noise either. I processed all this very quickly. If it would have growled at me it would have been laundry time! We stared at each other for maybe 10-12 seconds. It seemed to kind of lean side to side a little. Without moving its feet. Then the eyes dropped down a little and made a big circle. Pause. Then another circle same as the first. Like an owl, only way bigger. I thought that he had put his hands on his knees maybe. Kind of like I have seen on TV of apes moving.It looked at me for 3 more seconds and I lost it. Not knowing what this thing was going to do next, I took off running to the middle of the bridge and spun around. Every hair on my body was standing up. It did not follow me. I was not surprised. But I was also very happy. I was panting. Mostly from adrenaline, I think! I hustled back to camp and told Dave what happened. I said Lets go back over there. Grab your camera (a digital with a strong flash and video+audio). I was very excited. I knew that this could be a chance of a lifetime to get this thing on film. You have to understand that in my mind, there was nothing else that this creature could be than a REAL Sasquatch. I completely believe it to this day. Anyways, Dave Cannot find his camera. After we looked for a couple of minutes or so I get pissed and said, or words to the effect Lets go while this thing is still in the same county! So we get to the bridge and walk fast at first, then slow way down being quiet. I whispered  You watch the left side and Ill watch this side. Well try to get both flashlights on it at the same time. Daves flashlight was about the same as mine). It wasnt in front of the gate anymore. That didnt surprise me. What I did see was the red reflector. I did not even know it was even there the 1st time. But there it was. It would have stuck out like a sore thumb! It was blocked by the Bigfoot.On Daves side was a pull-out. It was empty. (The next night some people Camped there). I told Dave Shine your light up the road. There HE was! On my side walking slowly towards us. He had the exact same eyes. The left one was messed up, just like the 1st time! Dave and I were about 10-12 feet apart. I said Dave, THERE HE IS! Do you see him? Hes coming Dave! There he is!. Both of our lights had shined on this things face at the same time. Only for like 3 seconds or so. But it lit his head up!  The head did not look pointed to me, like many people have reported. It was really BIG though. I was slowly backing up as I watched it walking towards us. Dont you see it ? No he says. I was backing up slowly out of fear as Im watching the eyes move up and down rhythmically.   . Well, it turns out that Dave cant see much in bright sunlight.  At night he is basically following the sound of your voice. So he cant find his camera at the critical time; and I have no witness to this incidence, even though he was right there with me! I love the guy. But FU$%! So I get scared and take off running to the middle of the bridge again, with Dave behind me. The only reason he is running is because I was. You ever hear the joke about never going Grizzly Bear hunting with a friend who can out-run you? Well I out-weight Dave and he had trouble keeping up!   It was HUGE!  Also, although the road was going up hill, it was very straight and flat. I was familiar with this stretch of road, having camped there many times. And this gave me a great idea of how tall this thing was. When I say it was pushing ten feet tall, I feel confident that this is an accurate judgment of its true height. And there were NO tree branches there at all to justify an owl sitting on a limb. If it was an owl, it would have to be 10 feet tall. So we quickly get back to camp. Dave of course, finds his camera. Under his sleeping bag. We jumped into the van and shot across the bridge. Of course we could not find him. I knew he was just inside the trees on one side or the other. It was as dark as the inside of a Buffalo on a moon-less night.     The next morning I walked across the bridge to the top of the road on the right. I walked up to the pipe gate and stood there. Right exactly where HE stood. I paced it off, and it was roughly 45 yards to where I stood when I first spotted him. Boy, I sure will bring a massive candle power flashlight next time! And have a camera ready as well. But you get your chances when they happen. I was not prepared! One thing I havent mentioned. At the time this all happened, I had truly forgotten that in my tent were my two guns. I had my 9mm, plus a 12 gauge sawed-off double barreled shotgun(side by side and barely legal) loaded with 00 BUCK. It had never occurred to me to shoot this guy. I had completely forgotten that I was heavily armed! When he was walking down the road towards us, he, in retrospect, was just kind of shooing us away I think. I think of him as being a gentle giant! He very easily could have run us down and killed us. I feel blessed that they are out there. He did not harass us or threaten us in any way. Other than just leisurely walking towards us and scaring the CRAP out of me!I will go back there this summer,more prepared for sure. STOP!!!!!! - I havent told anyone yet, except for now. I also have a Class B report that happened back in 1975, up it Whatcom County near the Canadian border. This encounter was truly TERRIFIYING! Scared all 3 of us, plus the Big German Shepard ( who PEED himself) that  we had with us in a remote cabin. Ask me about that Story!! Thank you for having this site for us to tell our Bigfoot Stories.  God bless and keep up the good work!             ",Just what I have said.,"Although my friend was Right there,he cannot see shit.","Yes.In fact,I read in BFRO of a sighting not 3 miles away. And others not much farther than that.",About 10:30 PM. Pitch Back.No wind.Clear skies.,"Beautiful thick forest area with huge old growth Cedars and Firs. Lots of underbrush with Huckleberries,etc.Rivers and streams through-out.   ",1st
53041,4053,35812,2012,Spring,June,WA,Lewis County,Location is private,Morton,hwy 12,"June 2nd saturday my Mom & I wanted to go back to a place that she had done a BFRO expedtion. She said it had been pretty active,& she wanted to show me around in the day light hours.We met 2 of her Big footer friends on the way down. They drove their own jeep. We were going to the last spot that my mom wanted to show me.She said that it was the one spot that she had got creeped out while on the expedition at night. She also wanted to see this road going down to a clearing in the day time. Just after we had gotten to the spot that she was talking about,we heard a really weird loud whistle-whine-gurgling sound in the brush off to the right of us about 60 feet from us. I was ahead of my Mom by 10 feet or so. We stopped because it surprised us & held real still. The sound stopped....we started to walk again & the sound was louder & got more strange.Like a wild pig that was whisteling under water this time.There were also 3 loud human whistles from the other side of the road, up the hill & father away.I wanted to see what was making this sound & was hoping it was a bigfoot!I went closer to the pig sound & my Mom yelled at me to get back to her.2 trees were shaking now around the pig sound in the bushes.My Mom's friends were driving down with thier jeep to meet us & my Mom was flagging them down.I really really HAD to see what it was ,so I ran to the sound.My Mom was really scared & mad at me. But I am glad that I went to the noises, because I got to see what was making it.When I yelled at my Mom that I was looking right at a little Bigfoot,It stopped making the sounds, let go of the trees & turned around(away from me)I think it hit 2 trees with it's hands or fists on the way,because there were 2 very very loud thuds & the trees shook.It moved really fast into the under growth & it looked like it got down on all fours as it ran away very fast & made all kinds of crashing sounds. The whisteling on the other side of the road started again & the friends of my Mom's got to hear it too.After it ran away all noises stopped & it was dead silent.","My Mom saw a VERY large coyote coming up the middle of the road 10 minutes after all the noises stopped. The little bigfoot was around my height (5'6"") was light beige,had a darker face & hands (I saw 1 hand on a tree it was shaking)the eyes were black or dark brown.It was very clean & soft looking,I was surprised by that.I saw the entire back side of it when it turned to leave(all the way down to the top back of it's legs)It had a kind of pointy head from the back.I did not see much of it's front because it was hiding behind another srubby tree & was reaching around to shake the trees.I was about 30 feet away from it.","yes.My Mom & during the last part of the encounter, there were 2 more women getting out of a jeep to come meet us",,1:45-ish PM dry partly sunny no wind,old road off a logging road going down a hill.trees & bushes on right side.Other side of road has a creek that runs through bushes & trees.hills on both sides of road.Higher hill on the creek side.,2nd
53053,4082,36310,2012,Spring,May,WA,Pierce County,5 miles outside the main entrance to Mount Rainier National Park.,"Ashford, WA",Edited to protect the location,"Personal information edited out by the investigator to protect the privacy of the witness.  Names have been changed to initials.       Timeframe:  The following series of incidents occurred starting in April of 2012.  Possibly as early as April / May of 2011.  Private, full-time residence and immediate surrounding area.   Rural.  Heavily wooded rugged terrain, south-west of Mount Rainier National Park.   There is nothing behind (north) of this location for many miles. There are numerous logging roads thru this area both maintained and old.  Many drainages, streams and game trails  There are no homes or residents throughout the area north of us.  It is mountainous and wild.  Wildlife:  Large deer and elk population, bear, cougar, owl, fox all seen on the property.  If it is native to this immediate area, its likely here.  Incident Descriptions:  April 27, 2012 -  Witnesses: PC and neighbor FP. Around noon on the 27th both witnesses heard exceptionally loud and continuous screams for approximately twenty minutes moving from east to west in the tree-line to the south of their homes as though something was being chased and in fear of its life.  Both witnesss are in their eighties.  PC grew up in the area and returned here to live 2.5 years ago.  FP has lived in the area for over twenty-seven years.  Both are familiar with the sounds of wildlife in the area and both state that they have never heard anything like this before.  The screaming was described as human like, but not human.  Moving rapidly as though being chased.  The sound went through them and scared the life out of them.  When asked why they didnt call 911 they both said that they should have, but did not know what or how to report what they were hearing and thought they would be laughed at.   I (LC, PC's son) was out of town during this incident, but it was reported to me by my mother during a phone call that same day.  During that call I told her that both FP and her had likely heard some elk running through the woods.    May 18/19, 2012  Witness LC (reporting source).  I had just returned home from playing hockey in Seattle and was unloading the car behind my house at 3am.  I felt I was being watched.  It was pitch black out and the Baard Owls were going crazy all around the house.  Then the owls stopped like a switch had been  thrown.  After a brief pause something yelled at me from about 100 to 150 yards away (?) in the woods somewhere between me and the stream behind us anyway.  I have never heard anything like this in my life.  It was human like, but not human.  The sound went right through me.  It felt like a less than lethal crowd control weapon (I spent 25 years in the military / civil service with multiple overseas tours and had been exposed to these).  The hair on my body stood straight up, I felt chilled and distinctly warned off.  I left my hockey sticks in the car (anyone who knows me knows that I do not leave my sticks anywhere!) and went strait inside the house.  I told J (my fiancé) that I was done something just yelled at me out there and called it a night.  The next afternoon my mother, PC, asked if I heard that thing outside last night.  I told her yes and she said that was exactly what she and FP had heard for twenty minutes a few weeks before.  It was not any animal that I have heard before and Ive heard weird owl calls, strange cougar sounds, fox etc.  This was at a volume and resonance that was off the chart.  I could literally feel the sound pass thru me.  For the next few weeks while out back, I was feeling watched  not all the time, but frequently.  May 28/29, 2012 approx. 11pm to 2am  While laying in bed I could hear a faint sound like what was heard earlier in the month.  It sounded as if it was on or near a ridgeline to the north of the house.  Around 2am J said she heard it too and it was really weird.  Aug 12, 2012  I was mowing the lawn in the back (north) of the house when I hit a rock with the lawnmower.  I still have the bruises from where the rock hit my leg as I write this.  Aside from being injured, I was annoyed that there was a rock in that portion of the yard as I had been continuously clearing the area of rocks for quite a few weeks and had that specific area clean.  As I looked around the area I found that there wasnt just one rock, but nearly a hundred rocks all about fist sized laying around the area, about five to fifteen feet from the wood-line.  There are no kids in the area and I do not know of any animals that distribute rocks on the ground as if thrown.     Aug 19, 2012  While visiting with GJ and TJ, a part-time neighbor who has a cabin approx. ¼ mile to the east of us I asked have you heard the screaming man?  When I asked this GJ turned almost white.  He said that both he and his wife TJ had in-fact heard what I was describing a few months ago like May, maybe.  They said they had not reported it because they had no idea of what it was, but that it had scared them too.    Note:  I have been hesitant to write this report, but was convinced to do so by this final report from GJ and TJ.  I started this report by indicating a possible 2011 event.  This occurred from Late April to mid-June of 2011, so the same approx. timeframe of these recent incidents, though separated by one year.  All I can say is that both J and I heard talking between what sounded to be a male and female human back in the woods on multiple nights (after midnight usually).  This was strange as there is nothing back there.  But we both remember hearing only mumbling, no clear speech.  But that mumbling had to have carried for at least a hundred yards plus for us to have heard it.  I wrote it off at the time as potentially game control officers looking for poachers.  But looking back now I also considered it very strange.               If nothing else, I hope this report adds a few more data points to your efforts.  There have been multiple events in this area over the years, but people are very reluctant to discuss them.  You can feel free to contact me and I have the permission of all reporting sources to include their names in this report.  They have also indicated a willingness to share their stories with any follow-on investigation of this report.  ",see report,6,yes,See report.  In all incidents the weather was clear and calm.,See report,18
53061,4083,36318,2012,Summer,August,WA,Snohomish County,Omitted per the reporting party's request,"Verlot, Washington",Mountain Loop Highway,"So after a night of hanging out in Lake Stevens couple friends and my older brother and I decided to go out driving on the Mountain Loop Highway. We had been doing this for about a week. The first time was Friday 17th I had heard some Whoops. Then tonight, Thursday 23 on the same road, National Service Road (edited) I had brought 3 guys and my older brother to the same exact place and we decided to stop a bit and look around, not getting out of the car. I had heard a little bit of Howls and a whoop. At around 10:45 pm I started talking about my first time out there mentioning Eye Shine, then my brother said ""Like those ones over there?"" WE all look out the window there had to have been at least 8 pairs staring back at us. The driver had mentioned how he had been seeing eye shines for a while by then. One of our passengers was extremely scared which then the driver decided it was better to clear out of there and rethink it. WE are planning on returning on Saturday the 25th night time around 10 pm with video cameras, possibly some night vision equipment, and audio files.","three howls, one whoop, and set of slow knocks unsure of the number. Ranging between 6-9 feet above ground estimate for incline.",At least four maybe five people were witnesses four were passengers and one was the driver,,"Both about 11 pm, first night clear. Second patchy overcast, slightly chilly.",This occurred in a pine forest on the west side of of Mount Philchuck. ,"17th ,23"
53027,4084,36326,2004,Summer,July,WA,Grays Harbor County,"Traveling from Aberdeen,WA. Head out B Street to Wishkah road. Follow Wishkah road for 10 or so miles. Wynoochie-Wishkah road will be on your right side. It is only a few miles at most to the top of 13 corners. There is no sign postings for the logging road but it is the last pull over area on the left side of the road before you start going down the hill. ",Wishkah,Wynoochie-Wishkah Rd,"My experience happened a few years ago on a logging road between Wishkah, WA and Montesano,WA. The logging road we were on takes you out to the Wynoochie lake.   A friend of mine and I were driving out to meet some friends who were camping. They were a few miles back off the paved road. We stopped the truck to get out and check the bed to make sure we had everything before we got too deep out in the woods. Like food, beverages etc.. It was just getting dark so we had the headlights on and the dome light lit up everything around us, so we couldn't see a few feet (10+ or so from the truck). We both get in the truck about the same time and close the doors, dome light goes off and we notice something standing roughly 15-20' ahead of us, in the middle of a single lane logging road. We were in a lifted Toyota Tacoma, I'm about 6'4 and the truck was taller than me. What we saw was grey-ish brown colored and fully covered in hair. The part of the road we were parked was cut out from a small hill. The banks were roughly 6' high on each side of the road. Before we could take a picture, honk, do anything at all, from a standing position it jumped up and was up and over the bank. The headlights didn't show the exact height but in my guess it had to be at LEAST 7'. I'm over 200lbs and it made me look like a baby.  To this day, I still haven't gone down that logging road. If you'd like to know the exact place, it is called the A-Line on top of 13 corners. We were traveling from Wishkah side so the road was on our left. I've always been a believer in Sasquatch, my grandpa was a logger a long long time ago and actually worked while they were building roads to the dam. He told me all about the weird knocks, sounds that he would hear while staying in the cabins out there.  I'm in my mid 20's and have lived in the country for the past 10 years. Love camping and being in the outdoors. I tell all my friends about my experience and still after all these years it still gives me goosebumps when I tell it. I'll never forget that.","Nothing, for the size of whatever we saw you would think that it would make noise when it moved around. We didn't hear anything. Where it jumped up, it would of taken me or anyone a few mins to get up and over. Not many bushes or shrubs to hang on to. I would of had to get down and crawl/climb up it.",My friend and myself were the only ones there. We both just got off work and were heading out to meet some friends camping.,"(2012) I just moved into Aberdeen (town) and before that I was living 10 miles out on the E. Hoquiam road. My fiance and I lived right on the river. At night she would go out for a cigarette and I'd join her because she would hear stuff. We started to hear knocks just about every night. Our bedroom was right by the river. The river is probably 20+ feet from the house. One night we heard knocks really loud and then sounded like splashing through the water. The river is only a few feet deep there and about 6' in the deep holes. Never heard any howls or anything, just quite a few knocks. It was so intense for her, that she wanted to move. She didn't believe in bigfoot/sasquatch or anything. Now she believes and is spooked out.   (This is referring to my story up above) I told my mom about what I saw and maybe 6 months to a year later. About 1/4 mile down the road (closer to 13 corners) going towards Montesano. She was on her way to meet some friends and pulled over along the side of the road to go to the bathroom (its country out here, no rest stops). She thought it was just a stump from where they've been logging but as she got up, she turned around and it was gone. She doesn't stop anymore on that road.  Same area and this is about the same time as when I had my encounter. My basketball coach told me that his mom, who works for fish & wildlife found something strange at work. While her and her partner were walking up and down a small creek. To check for any salmon spawning. She came across a deer that was killed, but not like a bear would kill it or a hunter. The neck/back were broke and the actual spine was ripped back, like ripping it through the hide and everything. She was freaked out and got on the walkie talkie and told her partner. She had to hike up the hill and walk back up to the truck. By the time she meets her partner at the truck, something had packed/dragged/moved this deer up by their truck. She doesn't like talking about it because it scared her so bad.  From where I lived to where I had the incident in the truck is less than a 20 mile radius. A hill seperates E. Hoquiam to the Wishkah road and has many logging roads in between. Then Wishkah to 13 corners isn't far at all.  There is just something about that area. Still do this day there isn't many houses out there and alot of woods. ",Clear Summer day around dusk,Logging road. The area has been logged and was mainly clear cut with brush piles around. ,
