,id,YEAR,SEASON,MONTH,STATE,COUNTY,LOCATION DETAILS,NEAREST TOWN,NEAREST ROAD,OBSERVED,ALSO NOTICED,OTHER WITNESSES,OTHER STORIES,TIME AND CONDITIONS,ENVIRONMENT,DATE
3272,24936,1979,Spring,May,CA,Riverside County,It was at the desert Hot Springs condominium complex approx.10 miles north of Palm Springs,"Desert Hot Springs, CA.",Indian Avenue ,"Was going back to close shop at approx. 10PM in the northern desert above Palm Springs, CA., and saw a huge light tan colored biped with soft blowing hair .Because I was in a small VW bug with the light pointing down into the street upon leaving the driveway facing out into the desert.  I froze there with my dim headlight on it and it too froze there completely still,. I flashed my worthless high beams at it and it took 2 giant steps backwards and then one to my left, it's right and was gone into the dark. I was overcome with severe fear, panic and anxiety, and had to return home again.  I was armed with a .45 at the time and was still worried that if I shot it I would be in real trouble. Enormous, with the chest the size of a refrigerator. arms that hung below the knees and were still huge. I did not speak with anyone about it right away because who ever heard of a desert Bigfoot, But later found out that all the locals call him, ""Yucca Man"". ","I went out the next day, armed, for a 'walk' out there and you coudn't tell a footprint for your life out there.",A girl friend who could not dig her glasses out in time to see it.,I heard it terrorizes the marines at 29 Palms base. ,10PM approx.,"Desert, almost completely isolated community.",n/a
3273,24938,2007,Summer,August,CA,Tulare County,[Location details removed.  Location is in the general vicinity of Forester Pass in the Sierra Nevada Mountains],"Independence,  Ca.","Hwy ""395""","Very visual on 8-11-07 at 2:P.M. in southern high sierras along the P.C.T. At 200 yards I watched 2 bigfoot for 10 minutes just walking around within 25 feet of each other by the edge of a deep canyon. After 10 min. I gave them this coyote call I have and within 2-3 seconds they were both gone down into that canyon.   No pictures were taken, because my mind ""FROZE"". So, on 8-6-08 I went back to the exact same place, and found only one thing to bring back home. A chunk of big foot poop the size of a golf ball. Similar to horse poop but definitely NOT horse. So after two years in a row I will go back, as a 3rd time is a CHARM. (Video Camera next time) ","Big'st mistake was NO pictures. But like I said, my mind went BLANK.",Only me at the time.,No.,2:P.M.,Description up above.,8-11-07
3284,25009,1962,Summer,August,CA,Stanislaus County,It was on Apricot ave. about half mile from the San Joaquin river.,Patterson,Apricot ave.,"  While riding our bike just after sundown my dogs started going crazy, I looked at my dogs and saw that the hair on their backs was straight up.  I looked in the direction they were barking and standing in a suger beet field thirty to forty feet away was a humanoid figure covered in long shaggy grey hair.  This thing was massive and I would imagine it was at least eight feet tall.  It didn't move - it just stood there looking at us.  Needless to say in 1962 I didn't know what bigfoot was so I turned my bike around and got the hell out there. My dogs a collie and an Australian shepherd beat me home.  ",None,My freind Henry K.  We were just riding our bikes.,"This year my nephew told me that a friend's mother saw a white bigfoot about the same time and area.  Also,  a friend's family had an unusual occurrence at their dairy farm nearby our sighting location. The circumstances seem to indicate a bigfoot was frequenting their farm.","Hot summer eve,  sun just went down and was at our backs.",Farm road with fields on either side. It was in a flat suger beet field. San Joaquin river was 1/2 mile away.,
3311,25260,2007,Summer,September,CA,Sonoma County,"East/West Highway. Very remote, hills, wooded ravines with creeks and stream bottoms.","North of Cloverdale, California",Hwy 128 (Oat Valley Rd),"I am a law enforcement officer. I have no reason to lie about what I saw and frankly I don't care if anyone believes me. I have heard of these kind of things here and there but never paid close attention to it or laughed it off.  It's not that I didn't believe, I'd just believe it when I saw it.   It was a very warm, almost hot evening just after or before labor day in 2007. It was dark, around 8:30 or 9:00 PM but the sky was still a little lit up in the West that time of year.  I was on patrol, driving W/B on Hwy 128 out of Cloverdale going to an alarm call out at some ranch property.  Those calls are very common.  As a law enforcement officer, you notice things out of place.  A car here that wasn't parked there yesterday, a person walking along the road in a desolate area, lights on in a closed business....things like that. Things just catch your eye that other people don't notice. Like I said, I was driving W/B and saw someone coming up out of the ravine onto the roadside. I can't describe it...I just saw the movement in the brush and knew it was someone.  People run from us all the time and I thought I may have surprised someone who might be growing marijuana in the woods or something like that. It happens a lot here.  I saw the outline of a body, the reflection of my headlights in it's eyes and it ducked back into the scrub brush before I passed it.    Thinking it was someone trying to avoid or hide from me, I hit the brakes and backed up quickly.  That's when I saw it in my headlight beams.  It was about 6-7 ft tall, thick matted brown fur and walking upright. I did not see the face, it was walking away from me but slowly.  Like everyone else says, I couldn't believe what I was seeing.  It was definitely something I was not gonna put out on the radio. There were a lot of branches and overgrowth in the way, but there was no mistake on what I saw.   I specifically remember two things.  One was that it had small leaves and grass matted into its fur all over its back. I saw that as it walked away from me.  I remember that vividly. Second, I remember that it used slow, deliberate movements.  It walked away and used its arm to swipe small limbs and twigs out of its way.  I saw it from the backside for a good 4-5 seconds before it disappeared into the overgrowth again.  I then got out of my car and stood there for about 2-3 minutes with the engine off.  I could hear the same slow movements and crunching of leaves and sticks for a while. I could hear it down there making its way into the creek area.  Everytime I stopped hearing it and would start to walk back to my car, I'd hear a ""Crunch"" in the distance and I'd listen a bit longer.   There is a creek down in that ravine which is probably where it went back to.   Needless to say, I told no one.  This wasn't something to bring up in briefing or to put in the patrol blotter. That would make for an extremely long and uncomfortable career for anyone.    A friend of mine from back East told me about this website.  I didn't know who else to contact. I almost contacted one of our Fish & Game Officers up here but he knew too many of my friends, so I just kept it quiet. I read a lot of other postings on here and it's nice to know I'm not alone. I've never seen a ghost, UFO or anything like that, but this really makes me wonder now what else is out there that we laugh off from time to time.    ",,"Alone, working.",I have heard of some sightings in my county but have heard of a lot more just to the North of us in Mendocino County.  This was actually about a mile or two from the Mendocino County line coincidentally.,"Night time, just after sunset.  Western sky was still a little orange but it was dark for the most part.","Creek bottom, ravines, canyons and hill country. Lots of vegetation and very few houses or farms. The area is massive and there is nothing but Mountains and woods until you reach Oregon.  Sporadic farms and ranches here and there, but it's a remote part of the state.",8
3313,25266,1975-76,Winter,December,CA,Inyo County,"We were on a two-lane road, slightly elevated highway, with the equivalent of a dirt emergency lane located on the opposite side of the road.  This is where the biped 'creature' was running in the same direction as we were driving, but on the other side of the road. From the time 'it' came into our completely unobstructed view, to the time we came eye-to-eye (perhaps ten feet away) was perhaps 40-60 seconds. Look at your watch, count the seconds, because the viewing seemed an eternity.   The level valley (which the highway was constructed upon) had some knee high shrub for perhaps half a mile on each side of highway then the sharp incline of mountainside with pine trees above. "," Between Mammoth Lakes & Bishop California. Per the passenger, he estimated the sighting location was between 2 to 21/2 hours, driving time south of Mammoth Lakes.", Highway 395,"NOTE: Please see the following included sections for elaboration of details.  Two of us were driving home from a day of skiing at Mammoth Mountain California. The road was a two lane highway (opposite directions) with a soft dirt shoulder. We were in an open convertible (because the skis did not fit otherwise).   The moon was full and the lighting was un-obscured and visibility was (near daylight) excellent. In the distance (well beyond the reach of the High beamed head lights) two of us could see a very large and (completely out of place) thing running ahead of our approaching car. It was on the other side of the road. We slowed, 50, 40,30mph... now in our headlights. Running on the dirt shoulder, obviously unaware of our approaching auto... There it was ""Bigfoot""! At its closest point we were 10 UNOBSTRUCTED FEET FROM IT! EYE TO EYE! "," Perhaps, the most ""burnt in"" recollection of the sighting was the look of absolute surprise on the creature...We were close enough to SEE (and almost SENSE how very startled it was by us being suddenly eye-to-eye with us.   This was not some lower animal response. This was an intelligent human like, 'Oh crap- you saw me and where did you come from' look of surprise, as it stared at us just prior to running down and off the elevated highway.  The creature was SIGNIFICANTLY larger than even the largest of human beings (NO WAY THIS WAS A HUMAN BEING DRESSED IN COSTUME AS ""BIGFOOT"").   While, we were sitting in an auto, I can still say, with a high degree of accuracy, that the creature was eight to nine feet tall. The body mass was stout, thick in the chest/trunk, and very muscular. Even though 90% hair covered, you could see outline of significant ""muscle definition and mass"". This is much better than a guess; it weighed upwards of 500-600 lbs.   I can remember many details of creature: hair 90%, dirty skin tone, where there was leathery skin 10%, arm length, relative appendage size, and the biometrics of the approximate 15 mph running gate...Even the highly expression (because of the surprise) on its eyes...   The other witness, I am quite certain, will have an equally vivid recollection. "," Two witnesses. Me, the driver (it was my turn at the wheel) of the small convertible and the owner passenger. Both were 19 year old males, and old friends. The top was down, even though winter, because we had skies in the car. This had been a non-drinking day of skiing for us. The car was a little Fiat with a great heater and wind deflection design.  We were driving on the Highway......","Just for the record, I am readily willing to submit to a lie detector and/or regression hypnosis. I suspect the second witness would do so as well.","A full moon, cold and absolutely clear, and the time of night was between 8 & 9:00pm. The light of the intense full moon gave the crispness and brightness of ""twilight"".  We had excellent visual clarity of the surrounding environment and the actual 'creature' less than a dozen feet away.   Additionally, the headlights of the auto added lighting. However, my recollection is such that the ambient lighting from the moon was (if you assigned light character) perhaps 75%, and the remaining acuity of 25%, from the headlights. It was quite nearly like a full daylight sighting. "," See Time & Conditions. There were absolutely no manmade structures or lights from any structures for dozens of miles leading up to sighting. Also, there were no lights of structures for dozens of miles after the sighting.  Quite literally, we were in the middle-of-nowhere. I recall that there was no other auto traffic, period. No natural obstructions (trees, bushes).",
3333,25444,1982,Spring,April,CA,Santa Barbara County,we were near the confluence of the sisquac and manzanita rivers in the wilderness area where access is only made by horseback or on foot; we were on foot. ,"Santa Barbara, California",Hayway 154,,We did not find anything to be unuasual before or after.,"There were four of us, we where eating and drinking beer, we were not drunk; we had only had a beer or two apiece. ",My partners and I do not talk much about what we saw  because most people just make fun of us.In the past I have enquired but I have not found anything.,It was early evening between seven to nine in the evening. We had a large campfire at the time of our sighing and the night was clear but dark,"We had set up camp right on the manzana river on a sandy area. The terrain was hilly, with a mixture of pine and oak trees.We were making our way towards the old school mhouse campground for some fishing.",do not recall
3341,25492,2009,Spring,February,CA,Kern County,"Bear Valley Springs, CA, located in Tehachapi, Ca.",Tehachapi,Hwy 202,"As my Uncle walked outside to feed the horse he spotted tracks. They were big huge prints! The measurements are 52"" inch strides, with indication of toe's at the end, and hair like lines throughout the bottom.  I do have the address, because the prints are on my property. ","Yes, a human would of not of chosen this path. I would have chosen the walking path in the field; ""it"" chose the path through the field. The field is full of sage & brush that was about 4-5 feet tall.","Yes, there are 2 (two) others.","Yes on the backside of Keene, CA. A sighting was claimed as a man in his truck was driving down the back road at 8-9 p.m.  ",Night,"Cold, 2 days after a snowstorm in Bear Valley Springs located In Tehachapi, CA, 93561 at exactly 8:30 P.M. ",16
3359,25648,2003,Fall,September,CA,Tuolumne County,,Tuolumne,forest route 3n83,"I was traveling with my father and my fathers friends. Now i should tell you that my father was an active hunter, hiker and outdoorsman. My father was also 6'3 and two hundred and fifty pounds. There where exactly 6 of us including my self. We had traveled to the end of forest route 3n83 and had planned to camp in the general area for the night. Later on my father and told me that all this was planned so i could get used to hunting, and camping, this was a surprise for my 13th birthday. he said that we were supposed to spend two days there. We began to travel east of the end of the road. We walked for about 20 minutes through moderatley dense underbrush and reached a clearing where my dad decided to teach me how to make a fire. After around two hours i finally succeeded in making a fire. At around 4:30pm I finally made a fire. At this time my father decided to camp here, his friends agreed and set about setting up camp.         Now as they set up they talked about there other hunting experiances, me being young and stupid i decided to re-enact some of the stories. I decided to walk in a general east direction playing with a stick pretending it was a rifle. I eventually got to a smaller clearing and saw a squirell or some other small mammal and decided to chase it. It ran across the clearing and up the nearest tree. I threw two rocks at it and then became bored. So i continued in the direction i was headed. I came to an area where the tress thinned and i could see a meadow. At this time it had just begun to get dark. I turned around to go back to the camp when I noticed a terrible odor. It smelled like a very large wallowy pig. I covered my nose and continued walking. I began hearing brush breaking about 50 -100 feet behind me. At this time i noticed that me father and his friends had begun to look for me and I could hear them calling. As soon as i could hear the voices the brush breaking stopped so i ran back to the camp.          When i got back to where they were they had already started to pass around beef jerky and water. I sat next to my father and awaited the food. That night i was in a tent with my father who was sound asleep, when i thought i heard some brush breaking. We had divided our group into three tents, two in each. I sat there very still not sure what to do but i felt that something was wrong. I quietly woke up my dad to tell him about the sound. He woke up and I motioned him to be quiet and he heard the brush breaking around the edge of our camp. He grabbed his hand gun, and yelled whos there? The brush breaking stopped and then the area got quiet. My dad cocked the safety back and yelled again. This time there was a kind of crashing noise like a branch snapping, and then it got quiet. My dad crept form the tent and checked on the others, they were woken up by my dads yelling and had heard the crash. They lit a fire and remained awake the rest of the night. The food we had hung 6 feet to 7 1/2 feet of the ground was gone. The branch it was on had broken about a foot's length from the trunk of the tree, the branch there was at least 4 to 6 inches in diameter.  There was also the faint wallowy odor in the forest around the clearing. We packed our stuff up and left the woods. My father and i have since moved from california and my father has never spoken of the event again. ",there was an odor in the forest after the incident.,"6 witnesses, five were setting up camp during first incident, during the second incident every one was in there own tent in pairs. ",,"after midday but closer to Dusk, and that night at around 2 am","pine/oak forest one large clearing east of camp, with meadow/clearing about 300 meters east of that.",
3409,26116,2009,Spring,June,CA,Siskiyou County,[Edited],"Medford, OR",Upper Applegate Rd,"Hello, my name is Thomas G., I live in Medford, Oregon, I travel to the Applegate Region, Del Norte,Humbold regions quite often, mostly Applegate in the Red Buttes Wilderness, I had a confirmed sighting June 3, 2009, and have had strange occurances since 07 in this area.   I'm still very emotional about with what I seen, and can describe every moment. I didn't know what was gunna become of me, because it's weird trying to anticipate what it was going to do, it was 50 yards are closer to me, I watched as it ducked behind some brush by a boulder on the hill, looking down upon me. 6-7 foot tall before ducking down behind brush, ovalish head, Reddish/Dark brown fur, I seen the sulight shining off of it's shoulders which were as big as a linebackers with full gear, amber/brown eyes, flat faced, long hair matted, and big ass eyes staring straight through me, I was crippled in fear until the adrenaline started to kick in, and I ran, and jumped down the hill which was about 8 feet above the road, ran into my car, told my friend who was with me by the river, to get into the car now, we need to go, and I didn't stop until I got home, and out of the woods. I had planned to spend the day there swimming, and fishing the Applegate River, I have to say we were only there for less than an hour, 60 miles away from my house, so it'd be a waste of gas to take that trip for only an hour, I left my house at 9:30a.m. and was back by 11:15, I admit I was speeding the whole way to my house.   If it were a bear, it would of crashed off into the woods before I even would of known it was there, cuz it would of known I was there, or if it were a Mountain Lion, I probably wouldn't be typing this to you. I know what I saw, it wasn't a bear or cougar, they don't walk on their hind legs. I grew up in the Wilderness of Klamath Falls, Oregon, I've seen the animals that God has put on this planet, and this isn't anything I've seen before except on all these videos of sightings, Think of Patty, that's what I saw, I dunno if it was threatening at all, it was to me, there's been alot of unsaid sighting that happen in the Red Buttes Wilderness which extends from the Ore/Cal boarder, to hwy 96 Siskyou county, Saied Valley, Happy Camp, Indian Creek Road, Oregon Caves National Monument, and prolly 1000's of more.I read on a report that a hippy farmer from Talkemla says that he and his cohorts since they were little have been warned about the bigfoot living in this area, and that they are highly territorial,aggressive, and traveling into this area, is putting yourself in oppotunity/danger of running into one of these creatures.   please contact me, nobody else will, I'm not frauding,making this shit up or anything.",,No,Yes,Day,Forest,3
3413,26152,2004,Spring,June,CA,Riverside County,S.E. area of Round Valley in the Mt. San Jacinto Wilderness Area.,Idyllwild,Hwy 243,"    I was camping with my 7 year old son on top of Mt. San Jacinto, specifically Round Valley. This was the third year we had done this and the plan was to spent the night at 9200 feet and do the peak the next day. Spend another night in Round Valley and go back down the mountain the third day. The place we set camp was on the south east side of Round Valley with some large granite boulders to give us some shelter if the wind picked up. Surrounding our camp were ponderosa and jeffrey pines and not too far away was a small stream. This was early June and there were still some snow drifts in the shaded places.     My son and I had eaten dinner and were getting ready for bed. At about 10:00 p.m. we were in our sleeping bags, but still talking and planning the trip to the peak in the morning. Suddenly without warning we heard a loud, low pitched whooping call in the boulders just above us. The hair on the back of my neck stood up and my son asked me if that was a monkey and I, not wanting to deal with a panicked 7 year old, told him it was just an owl. We did not smell anything or hear footsteps. Everything calmed down and we finally fell asleep. About an hour later I heard a load boom that sounded close to the tent. I looked out the window in the tent and saw a few clouds in the moonlight so I pulled our boots into the tent in case we got a thunderstorm in the night.     The next morning we got up and had breakfast, then headed for the peak. We made the peak but by the time we got back to camp my knees were swollen and sore so I put some snow in a sandwich bag for a cold pack that evening to reduce the swelling for the trip out the next morning. That night was uneventful and we slept well in the high altitude air. The next morning we got up and began to pack up for our trip off the mountain. I went up on top of the boulders to make sure none of our trash had blown away from camp and make sure everything was picked up. I then saw what had made that load boom the night before last. 30 yards from our tent on top of those boulders was an 8 inch diameter ponderosa pine snapped off at the base. The tree was still green and fresh and had no rot in it and there was no wind to speak of either night. The only explanation I can come up with is that the animal that made that whooping sound had pushed the tree over. The tree was not aimed in the direction of our tent but rather parallel the direction our tent was pitched. I don't think the animal was trying to do any harm but may have just been expressing it's dominance over us.",,Just myself and my 7 yo son. We were talking.,,Started about 10:00 P.M. Weather was clear and cold.,Pine forrest with meadow about 1/4 mile away and stream less than that.,early June
3424,26258,2009,Summer,July,CA,El Dorado County,Hwy US 50 between Silver Fork and Twin Bridges.,Silver Fork,Hwy 50 ,"Tonight me and my husband were driving on Hwy 50 and we noticed a 8 to 10 foot hairy creature on the side of the road just standing there looking at us while we were driving home... We have driven that Highway enough to know that this was not usual thing to see.    We have seen several deers only, but I couldn't believe what we just seen... I will never drive that Highway at night ever again... It really scared me... I am just curious if any other drivers noticed this big creature on the side of the road.. The time was between 10pm to 10:30pm on July 11th, 2009.  It was on the side heading toward Sacramento, CA. It was 3 to 5 miles between Silver Fork and Twin Bridges.. ",We had just noticed a small herd of deer about a mile away.,"Two, I was a passenger and my husband was driver.",My husband has heard of other sightings in this same area. But I never did. This is the first time I have ever seen this for my own eyes..,10-10:30pm,Pine forest and Highway 50.,11
3446,26381,1973-74,Spring,,CA,Shasta County,"From Hwy. 299, & then up the French Gultch Rd.","Redding, Ca, because French Gulch was a town back in the gold rush days of old California. People still live in the area of what is now called French Gulch.","Hwy. 299, & then up the French Gultch Rd.","I never thought I would write this sort of thing on this forum, but well...here goes. Way before I joined the Church, my young wife and I worked for a private school at the end of the road near French Gulch CA. This is on the edge of the Trinity Mountains (Big Foot Country), and about 25 miles into the woods, behind Clair Engle Lake. It was pretty isolated. Once in awhile log trucks would go by, but mostly no one used the road to come there or go past.  I was assigned midnight bed checks, and had to walk through the entire compound. This was a former ranch: the main house and girls cabins on one side, along with the Teacher's and staff cabins and trailer, and across the creek, and up the pasture alongside the woods, the boy's line of cabins.   To cross the creek, I could either wade or ford, where the cars crossed, or walk past the cook house, that sat next to the creek and cross over on a suspension bridge, that was about jeep wide. We used it only for walking. I sometimes waded because bears would come raid the trash cans, and that was a bother to get past them sometimes.   It was a bit crisp that night, so I decided to walk the bridge, cross the pasture, and walkup the half mile or so along the cabins, to check each one. My boots made a hollow thumping noise as I crossed, and the bridge began to sway like it always did, with a side to side motion, as well as a rolling wave to the deck. The water was about 5 feet below me, and only filled about 10 feet across the bottom. The edges of the creek, about 20 feet per side, were dry and exposed rocks and boulders. The creek was about 2 feet deep and swirled softly, chuckling between and over the rocks.   There was no moon, but there was sufficient starlight, to see, once I had walked from my trailer, to the bridge, about a quarter mile. A single yard light was on up at the owner's house, but none down at my end of the headquarters compound. I walked up to each cabin, and checked them all. Everyone was asleep, no deer were in the pasture, and the one horse we had, was up at the top end of the pasture, snorting at me, and pawing the ground. That was not unusual, so I just headed back to the bottom of the hill toward the bridge. The stars were bright, and the sky was black.   As I approached the bridge, I thought I could hear something near the trash cans on the creek side of the cook house. Something was snuffling around and then banging trash can lids onto the ground. ""Crap,"" I thought, ""Bears. I could hear whatever it was knocking over the cans, and rooting around in them. I was a bit frustrated, since the day guy was supposed to have taken them to town, that afternoon, to dump them to avoid just this sort of thing.   I picked up a couple of large smooth river rocks, and stepped onto the bridge. This bridge is about 60 feet long, a suspension bridge, about 15 feet wide. The cables are too high, except in the middle to touch, to use as a hand rail, then too low in the middle to use for that either. The planks are 3"" thick, 10 inches wide, very heavy, and heavily oiled. They made a deep thump when trod upon.  I stepped quietly onto the bridge, and drew back my arm. The animal had stopped, and with a whiff, dropped the can it was exploring with a crash. I threw the river rock as hard as I could, and it thumped down, just under the eaves of the building, and rolled into a can, Wham! I peered into the darkness, and shadow under the eaves of the cook shack, but could not see anything but a darker shadow, where I though this animal was. The animal gave out another ""Woof,"" like a bear would when he is trying to sniff something out.  As it stood, I realized, that although I couldn't see much, I could tell that a head and shoulders had risen about the edge of the eaves. ""Wow!"" My head was trying to compute, ""animal on top of a trash can, or a big animal on the ground, that eave is at least 8 feet from the ground..."" It wasn't making sense, but the moment didn't last long. With a rumble deep in its chest it began moving out into the open, toward the end of the bridge. I by now was almost to the middle, so I started backing up, and got to about 1/4th of the way from the end. I started hollering at it, and chucked the other two rocks I had with me, one landing at his feet, and the other hitting somewhere near his hip.   He came up out of a crouch, and stood erect. He was just shorter than the bridge uprights, and they were ten feet tall! ""Oh, crap"", I thought. As he walked forward, the gait was more like a big man, than any bear I had ever seen. Only he was far bigger than any man I had ever seen either. Its legs where long, and this was NO BEAR! Now here you are going to have to trust me. I have hunted all my life, and I am no city boy. I know a bear when I see one, and I had no reason to expect anything else here.   I began shouting at it, as I backed up. He stepped onto the bridge, and in two steps was over the free-swinging portion. The bridge sagged, and I jumped up and down, stomping my feet, and shouting. I backed to the ground, and bent to pick up some more rocks. I stepped forward, pounded on the bridge, and threw another rock; saying ""Hey, get!"" As the rock sailed I thought that I was using some puny weapons. I also realized my voice was pretty weak. I was scared **itless!   I threw two more rocks in quick succession, and they bounced on the deck, and flew off into the dark, one splashing into the creek. He dodged them handily. His eyes glowed in the dark, and he took a step closer. I started jumping up and down, and getting the bridge to moving sideways and up and down. I had a hold of one of the upright cables, and I had the bridge going pretty good. The animal held onto the cables, above his head, and then with one hand, he vaulted the cables, and disappeared below the bridge.   I thought he was headed my way under the bridge, and I jumped back off and grabbed a two handed rock, to smash his face or whatever I could. I realized I could hear him splashing in the creek, and peered into the darkness, and saw the form running upstream into the back country. I stood a second, heart pounding, and realized there was a foul stench in the air, as a slight breeze carried his scent from that side of the bridge. It smelled of dead animals, and rotten food, and funky bad feet and armpits.  I made my way across the bridge, across the compound, hefting the two handed rock, and eventually got to my trailer. No lights had come on in any of the cabins, or at the owner's house, and no one had come to help me. I slid open the glass door, stepped inside, and slid it back, and leaned against the wall. My wife was in back reading, with a small light on. She looked at me and asked me what was wrong. I don't know what that was, I won't argue for Bigfoot, nor any other animal. I know it was not a bear. I know what that looks like. ",,No!,,Clear dark night with no moon!,Steep canyons and hevily forested.,
3447,26386,2008,Summer,August,CA,San Bernardino County,"Off Hwy 38 in the San Bernardino National Forest, to State Lane, To Cypress Lane, to Erwin Ranch Rd. on the Hill North Of Erwin Ranch Rd. I'd have to show You.",Big Bear City ,East of Hwy 38,"Hi, I'm K.L.P., and My Mother is S.K.P. and we heard that yell, from what we believe to be a Sasquatch, near our Home here in the Erwin Lake area of Big Bear City, California, at approximately around 2:30 am to around 3:00 am, on the morning' of August 3rd. 2009, I know what I heard, it had all the dog's and cat's in the neighborhood going' crazy, we heard it 3 times within' a half-hour time span, it scared me enough to get up and check outside,   I saw several Coyotes run towards our house, like they were scared. and the raccoons that were in our yard were running' around like chicken's with their heads cut off so to speak, we would like to talk to someone about what we heard, My Mother and I will never forget that sound. ",Not That I can think of!,"My Mother and I heard it, and we think our neighbors heard it..",No ,2:30 am to 3:00 am,"Several Homes, Heavly Wooded Area Along the Pacific Coast Trail, I'd have to show You! ",3 rd.
3497,26850,1993,Fall,September,CA,Butte County,"Leave Oroville CA up Olive Hwy. Turn on Forbsetown RD. 8 miles up turn on Lumpkin Rd. Take through Feather Falls then turn on Mill RD. Once you pass Fall River, take next right, road 21N25. It is several miles to the site on road 21N25.",Feather Falls,Forest Service RD 21N25 off Mill Rd,"The whole story begins several years ago, 1993 to be exact. At the time I worked for the US Forest Service, Plumas National Forest. At that time it was called the La Porte Ranger Dist. Long before this as a young youth my father had taught me to hunt, fish and trap. I made my spending cash in junior high and high school by trapping and like most young men thought I was Mr. Outdoors. I was in reality, a very good outdoorsman with several mountain lion sightings in my hunting and working career (16). Many were at very close range, within a few yards - much too close, but onto my only bigfoot sighting.   It was late September and after working as a firefighter for years, I had moved to Silviculture where I had been working for about 5 years. My tasks included overseeing contracts for reforestation of clear cuts including the marking and measuring of unit, overseeing contracts to clear the brush, plant, brush suppression and thinning of units, testing tree planting and counting trees per acre as well as identifying tree species. I had two jobs slated for the day. The first was to meet a contractor and show him his work site and then I was to proceed to far end of Watson Ridge which drops off into the Middle Fork of the Feather River in Northern CA out of Oroville. This is a very remote area designated a wild and scenic waterway. The site I was heading for was a set of three small clear cuts setting within a few hundreds of yards from each other. We referred to them as the Mountain Lion clearcuts because a lion lived in the area and between 4 of us, it had been seen 5 times in 3 months.   The clearcut I was going to was the northern most which was about 12 acres. It was basically a square shaped clearcut that sloped gently up a hill. In the lower NW corner was a patch of forest that was not cut about 20 feet circumference and located just a few yards into the clearcut from where you would park. I arrived at the site at about 11:20 and decided to eat lunch before I got started and though I would get into the uncut area while I ate to see if the lion would come by. I ate lunch and took and additional 30 minute break being very still and quiet to look for the lion. He never showed and I had work to do.   This day I was counting the number of trees in the clearcut that had been planted in spring. Doing this meant that I would start by placing a spike through the open end of a tape measure so I could pull out the tape and measuring 10 feet. Then I would start moving one direction and count every tree that fell into the 20 ft circumference. Each one of these was called a plot. In every third plot I also identified the types of trees. Then taking a compass, I would walk approx 120 yds and start the next plot repeating the process. I had left the brush and completed two plots and started walking to the third plot when I heard loud noise ahead of me at the edge of the clearcut. The noise was so loud that I assumed it was a cow and I did not even look up. After a few more steps, more noise and this time I instinctively did look up to see a large creature walking up the edge of the brush line about three feet out of  the clearcut. It was about 110 yards away.   The creature was walking North away from me at a 90 degree angle on two feet. I stood very straight up and down while walking. It only walked a few feet and then stopped, leaned over slightly and rested its forearms on a tan oak that was bent and facing horizontally in the air about 4 1/2 ft high. At this time, it was no further than 125 yards away. It remained there for about  45 seconds with its head turned over its left shoulder looking at me, Its head or chin did not set or rest on its shoulder as it did not seem possible for the creature to do so but its entire face was visible except for the lower mouth and chin. The creature was oriented so that I could see the entire left side from head to leg to about one foot from the ground. In addition, I could see its entire back and the back of the right leg from head to ground.  I could not see any of the right side or the front of the creature.  It stood about 66 to 7 ft tall. It was very lean and I would guess its weight at between 350 to 400 lbs. It may have been heavier; it is hard to determine that without ever seeing the front of the creature. Its legs, although a little longer than a mans, seemed proportioned to a mans in shape. From the waste up however, the creature was very very large. I would guess about 40 to 45 waste but 80 to 90 around the shoulders. It seemed very man like, covered in two to three inch hair that was red brown on the legs.  It got somewhat darker to a browner as it went up its back. The hair was much shorter and thinner around the butt got longer and thicker as it went up its back. The hair on its back was not as long as on its leg but by the time it got to its shoulders, it was longer again and brown to dark brown. The hair coming down the arm from shoulder to elbow was red and 2 long. At the elbow, the hair end and the actual elbow was covered with skin like leather that was black. Oddly enough, this is the feature that stands out the most still to this day.  The head was not as visible but human like. Hair longer on top and shorter around the sides with no hair from lower forehead to mouth. The hair on its head was dark brown to light black if such a color exists. For some reason, I never really focused on the face as it was shaded. I spent more time looking at the entire size of the creature and the bare elbow facing me. It was very calm as was I and I never felt any danger or anxiety from fear. I differently remember thinking that it is tripping on me and checking me out as much as I was tripping on it. As I stood there in the open, I had a strange since of peace.   After a minute, the creature lifted up off the tree, turned away slightly and took two steps and I never saw it again. I did not go look for tracks which still seems strange to me even now. Even after the creature left, I was not scared and continued to take plots for several hours. I was anxious to return to the office and tell my friend but within an hour of work, I had talked myself out of telling this story to anyone at work. I did eventually tell two or three other co-workers. I have not shared this story with many but now am 50 years old and dont really care what people believe or think of me.   Sorry for making he story so long. Im sure I could find the exact site of this encounter again but being many years old, it probably would not help.  ",none,no one else,none,12:45pm mid day on a clear Sept day. Temps about 70 with no wind or clouds.,"Tan Oak, Live oak, pine forest about 2000 to 2500 ft in elv. Just a couple of miles from Bald Rock Dome in the Middle Fork of the Feather River. Very remote section of river for several miles. Elevation climbs quickly to more pine forest. ",30
